,source,target,value
14,Fed,U.S.,2
15,Energy,U.S.,1
16,Energy,Featured Research Reports,2
17,Apple,Featured Research Reports,3
18,Apple,Zacks Tech,3
19,Zacks,Zacks Tech,2
20,Apple’s,Zacks,3
21,Apple’s,iPhone,3
22,Chinese,iPhone,3
23,Chinese,Foxconn’s,3
24,Foxconn’s,Zhengzhou,3
25,Apple,Zhengzhou,2
26,Apple,Services,3
27,Apple,Johnson & Johnson,2
28,Johnson & Johnson,the Zacks Large Cap Pharmaceuticals,3
29,Zacks,the Zacks Large Cap Pharmaceuticals,2
30,J&J’s,Zacks,3
31,J&J’s,MedTech,3
32,J&J,MedTech,2
33,J&J,Stelara’s,2
34,J&J,Johnson & Johnson,2
35,CSX,Johnson & Johnson,3
36,CSX,the Zacks Transportation - Rail,3
37,Zacks,the Zacks Transportation - Rail,2
38,CSX,Zacks,3
39,CSX,Halliburton Company (HAL,2
40,"American International Group, Inc.",Halliburton Company (HAL,3
41,AIG,"American International Group, Inc.",3
42,AIG,"CenterPoint Energy, Inc.",3
43,CNP,"CenterPoint Energy, Inc.",3
44,CNP,Sheraz Mian,2
45,Sheraz Mian,the Zacks Equity Research,3
46,Benefit Apple,CSX,3
47,CNP,CSX,3
48,CNP,Supply Chain Issue Woes,3
49,Supply Chain Issue Woes,Zacks,3
50,CenterPoint Energy,Zacks,3
51,Akamai,Zacks,3
52,Akamai,Coty's,2
53,Coty's,Zacks,3
54,Coty,Zacks,3
55,Chinese,Coty,2
56,Chinese,Focus & Low Costs Aid Interactive Brokers,2
57,Focus & Low Costs Aid Interactive Brokers,IBKR,3
58,IBKR,Zacks,3
59,Interactive Brokers',Zacks,3
60,Interactive Brokers',JAKKS Pacific,2
61,JAKKS Pacific,Zacks,3
62,JAKKS Pacific's,Zacks,3
63,AIG,JAKKS Pacific's,1
64,AIG,Zacks,3
65,Thrombectomy Portfolio Aid Surmodics,Zacks,3
66,Surmodics,Zacks,3
67,New Upgrades Halliburton (HAL,Surmodics,2
68,New Upgrades Halliburton (HAL,North American,3
69,North American,Zacks,3
70,Halliburton,Zacks,3
71,Halliburton,North American,3
72,North American,ProPetro,2
73,PUMP,ProPetro,3
74,Debt-Free Balance Sheet,PUMP,3
75,Debt-Free Balance Sheet,Zacks,3
76,ProPetro,Zacks,3
77,ProPetro,Reinsurance Group,2
78,Reinsurance Group,Solid U.S. &,3
79,Latin American,Solid U.S. &,3
80,Latin American,Zacks,3
81,U.S.,Zacks,3
82,Latin American,U.S.,3
83,C.H. Robinson,Latin American,2
84,C.H. Robinson,Zacks,3
85,C.H. Robinson's,Zacks,2
86,C.H. Robinson's,CHRW,2
87,CHRW,Supply-Chain Constraints Hurt Zebra Technologies,2
88,Supply-Chain Constraints Hurt Zebra Technologies,Zacks,3
89,Zacks,Zebra Technologies,3
90,Soft Print Advertising Revenue a Worry for News Corp,Zebra Technologies,1
91,News Corporation,Soft Print Advertising Revenue a Worry for News Corp,3
92,News Corporation,Zacks,2
93,Zacks,Zacks Investment Research,2
94,Apple Inc.,Zacks Investment Research,1
95,"American International Group, Inc.",CSX,2
96,"American International Group, Inc.","Free Stock Analysis Report CenterPoint Energy, Inc.",2
97,CNP,"Free Stock Analysis Report CenterPoint Energy, Inc.",3
98,CNP,Zacks.com,2
99,Zacks Investment Research Related Quotes,Zacks.com,2
0,Mario Tama Mario Tama Apple,Tim Cook,1
1,Japanese,Tim Cook,1
2,Fumio Kishida,Japanese,1
3,Fumio Kishida,Japan,1
4,Cook,Japan,1
5,Cook,Kishida,7
6,Apple,Kishida,1
7,Apple,iPhones,3
8,Morgan Stanley,iPhones,2
9,Apple (AAPL,Morgan Stanley,3
10,Apple,Apple (AAPL,1
11,Apple,China,2
0,Apple Inc AAPL,Gene Munster,1
1,Apple,Gene Munster,2
2,Apple,Munster,10
3,CNBC,Munster,9
4,CNBC,Squawk Box,3
5,China,Squawk Box,2
6,China,Munster,2
7,Cupertino,Munster,3
8,Apple,Cupertino,3
9,Apple,iPhone,3
10,Munster,iPhone,5
11,Apple,Taiwan Semiconductor Manufacturing Co. Ltd. TSM,3
12,Taiwan Semiconductor Manufacturing Co. Ltd. TSM,iPhone,2
13,Apple,TSMC,3
14,Munster,TSMC,2
15,Apple,CNBC,3
16,Apple,Apple Hits Fresh,5
17,Apple,Benzinga Pro,6
18,Apple,Benzinga.com,2
19,Benzinga,Benzinga.com,2
0,Apple,Compounder,5
1,Apple,FCF,2
2,FCF,ROE,3
3,EPS,Tim Cook,2
4,EPS,iPhones,1
5,iGadgets,iPhones,3
6,Berkshire Hathaway,iGadgets,1
7,Berkshire Hathaway,Tim Cook,3
8,Apple,Tim Cook,3
9,Apple,China,15
10,Apple,EPS,16
11,Apple,S&P,5
12,Apple,iPhone,2
13,EPS,iPhone,3
14,iPhone,iPhone Unit Sales,2
15,Apple iPhone,iPhone Unit Sales,2
16,Apple iPhone,Morgan Stanley,2
17,Morgan Stanley,iPhone,3
18,Apple’s,China,3
19,China,iPhones,3
20,US,iPhones,2
21,China,US,3
22,China,India,4
23,China,the Chinese Communist Party,2
24,Apple,the Chinese Communist Party,3
25,Apple,Taiwan,8
26,Apple,Russia,2
27,Russia,Ukraine,3
28,China,Ukraine,3
29,China,Taiwan,5
30,Alibaba,Taiwan,2
31,Apple,CFO,3
32,CFO,the Wall Street Journal,3
33,Apple,the Wall Street Journal,2
34,Apple,businessofapps Services,5
35,Apple,Korea,2
36,Korea,UK,3
37,UK,US,3
38,EU,US,3
39,Apple,EU,3
40,Apple,"Apple, Apple",2
41,"Apple, Apple",Visa,2
42,Mastercard,Visa,3
43,Apple,Mastercard,3
44,Apple,Meta Platforms,1
45,META,Meta Platforms,3
46,Apple,META,2
47,Apple,Today Apple,2
48,Apple,Bloomberg,9
49,Bloomberg,EV/EBITDA,2
50,Apple,EV/EBITDA,2
51,Apple’s EV/EBITDA,S&P,2
52,Apple EV/EBITDA Valuation,Apple’s EV/EBITDA,2
53,Apple,Apple EV/EBITDA Valuation,3
54,Apple,Google,5
55,Apple,Microsoft,2
56,Microsoft,Oracle,3
57,ORCL,Oracle,3
58,Google,ORCL,2
59,EPS,Google,3
60,Apple,Oracle,2
61,EPS,Oracle,3
62,Apple,iPad,3
63,iPad,iPhone,3
64,China,iPhone,2
65,China,Google,3
66,Dodd/Buffett,Graham,3
67,Dodd/Buffett,Vanderbilt University,2
68,Northwestern,Vanderbilt University,3
69,Kellogg School of Management,Northwestern,3
70,Charlotte,Kellogg School of Management,3
71,Charlotte,NC,3
72,NC,NJ Value Investor,2
73,Cash Flow Compounders,NJ Value Investor,3
74,Cash Flow Compounders,MSFT,2
0,Quiller Media,Us,1
1,Apple,Us,2
2,Apple,China,3
3,China,JP Morgan,3
4,Apple Product Availability Tracker,JP Morgan,6
5,Apple Product Availability Tracker,AppleInsider,4
6,AppleInsider,JP Morgan,4
7,Apple,JP Morgan,15
8,Apple,Foxconn,4
9,Foxconn,Zhengzhou,10
10,Foxconn,JP Morgan,4
11,JP Morgan,Max,4
12,Max,Zhengzhou,6
13,JPM,Zhengzhou,4
14,JPM,Max,10
15,JPM,iPhone,4
16,Apple,iPhone,8
17,Apple,Total iPhone,2
18,Total iPhone,iPhone,2
19,Apple,JPM,4
20,JP Morgan,JPM,2
21,Apple,JP Morgan's,4
22,Apple,Disney,10
23,Apple,Chinese,6
24,Chinese,JP Morgan,6
25,Apple,iPad,7
26,Apple Silicon,iPad,5
27,Apple,Microsoft,2
28,Intel,Microsoft,3
29,Apple,Intel,3
30,Microsoft,iPad,1
31,Microsoft,Surface Laptop 5,3
32,Apple,Surface Laptop 5,3
33,Apple,The Bose QuietComfort Earbuds II,1
34,Macs Best,The Bose QuietComfort Earbuds II,1
35,Macs Best,iPhone,3
36,iPad Apple Music,iPhone,3
37,FBI,iPad Apple Music,3
38,De Niro's,FBI,3
39,De Niro's,iPad,3
40,Apple Store,iPad,3
41,Apple Store,Studio Display,3
42,Studio Display,TurboTax Home & Business,3
43,JP Morgan's,TurboTax Home & Business,3
44,Apple,ProDock,2
45,Brydge,ProDock,3
46,Brydge,Thunderbolt,3
47,MacBook Pro,Thunderbolt,3
48,iPhone,the Pohl Schmitt Body Fat Bathroom Scale,2
49,Apple Health,the Pohl Schmitt Body Fat Bathroom Scale,3
50,Apple Health,iPad,1
51,The Meross Smart Garage Door Opener,iPad,2
52,HomeKit,The Meross Smart Garage Door Opener,3
53,Foldable Power Station,HomeKit,2
54,AppleInsider,Foldable Power Station,2
